	行   190: 05-30 11:07:23.937 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,475: [DEBUG] Depth overlay: shader programs - depthToColor=140, sideBySide=137, gDepthBlitFBO=4, gOverlayFBO=3
	行   191: 05-30 11:07:23.937 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,498: [DEBUG] Depth overlay: depth attachment is TEXTURE id=2062, using cached temp blit
	行   192: 05-30 11:07:23.937 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,518: [DEBUG] Depth overlay: blit TEXTURE to cached temp TEXTURE id=41
	行   193: 05-30 11:07:23.937 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,564: [DEBUG] Depth overlay: FBO gDepthBlitFBO (4) complete
	行   194: 05-30 11:07:23.937 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,570: [DEBUG] Depth overlay: depthToColor program validate status=1
	行   195: 05-30 11:07:23.937 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,581: [DEBUG] Depth overlay: u_depthTexture location=0, binding texture=41
	行   196: 05-30 11:07:23.937 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,585: [DEBUG] Depth overlay: attribute locations - pos=0, tex=1
	行   197: 05-30 11:07:23.937 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,638: [DEBUG] Depth overlay: FBO gOverlayFBO (3) complete
	行   198: 05-30 11:07:23.937 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,647: [DEBUG] Depth overlay: first blit - read from currentFBO=0 to gOverlayFBO left half
	行   199: 05-30 11:07:23.937 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,662: [DEBUG] Depth overlay: second blit - read from gDepthBlitFBO=4 to gOverlayFBO right half
	行   200: 05-30 11:07:23.937 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,667: [DEBUG] Depth overlay: final blit - from gOverlayFBO=3 to savedFBO=0
	行   222: 05-30 11:07:23.995 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,1538: [DEBUG] Depth overlay: FBO=265 has depth attachment type=0x1702
	行   228: 05-30 11:07:24.007 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,1538: [DEBUG] Depth overlay: FBO=7 has depth attachment type=0x1702
	行   229: 05-30 11:07:24.007 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,28974: [DEBUG] Depth overlay: g_frame_id:862 detected depth blit from FBO=265, mask=0x100 filter=2600
	行   234: 05-30 11:07:24.007 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,1538: [DEBUG] Depth overlay: FBO=265 has depth attachment type=0x1702
	行   237: 05-30 11:07:24.007 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,1538: [DEBUG] Depth overlay: FBO=13 has depth attachment type=0x1702
	行   297: 05-30 11:07:24.012 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,1538: [DEBUG] Depth overlay: FBO=283 has depth attachment type=0x1702
	行   301: 05-30 11:07:24.013 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,1538: [DEBUG] Depth overlay: FBO=284 has depth attachment type=0x1702
	行   310: 05-30 11:07:24.015 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,1538: [DEBUG] Depth overlay: FBO=282 has depth attachment type=0x1702
	行   318: 05-30 11:07:24.018 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,1538: [DEBUG] Depth overlay: FBO=285 has depth attachment type=0x1702
	行   350: 05-30 11:07:24.019 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,1538: [DEBUG] Depth overlay: FBO=1 has depth attachment type=0x8d41
	行   366: 05-30 11:07:24.021 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,41226: [DEBUG] Depth overlay: selected best depth FBO=265 (draws=285, verts=855168)
	行   367: 05-30 11:07:24.021 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,103: [DEBUG] Depth overlay: trigger file check result=1, path=/data/storage/el2/base/haps/inputs/results/depth_overlay
	行   368: 05-30 11:07:24.021 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,405: [DEBUG] Depth overlay: using recorded depth blit target FBO=265
	行   369: 05-30 11:07:24.021 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,428: [DEBUG] Depth overlay: sourceFBO=265, GL_READ_FRAMEBUFFER_BINDING=265, GL_FRAMEBUFFER_BINDING=0
	行   370: 05-30 11:07:24.021 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,441: [DEBUG] Depth overlay: sourceFBO=265 has depth(type=0x1702,id=2062) color(type=0x1702,id=4679)
	行   371: 05-30 11:07:24.021 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,442: [DEBUG] Depth overlay GL ERROR at after query sourceFBO attachments: 0x502
	行   372: 05-30 11:07:24.021 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,451: [DEBUG] Depth overlay: sourceFBO depth texture id=2062 size=1919x828 redSize=0
	行   373: 05-30 11:07:24.021 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,473: [DEBUG] Depth overlay: render frameID=744, size=1919x828, sourceFBO=265, color=4679, depth=(type=0x1702,id=2062), currentFBO=0
	行   374: 05-30 11:07:24.021 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,475: [DEBUG] Depth overlay: shader programs - depthToColor=140, sideBySide=137, gDepthBlitFBO=4, gOverlayFBO=3
	行   375: 05-30 11:07:24.021 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,498: [DEBUG] Depth overlay: depth attachment is TEXTURE id=2062, using cached temp blit
	行   376: 05-30 11:07:24.021 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,518: [DEBUG] Depth overlay: blit TEXTURE to cached temp TEXTURE id=41
	行   377: 05-30 11:07:24.021 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,564: [DEBUG] Depth overlay: FBO gDepthBlitFBO (4) complete
	行   378: 05-30 11:07:24.021 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,570: [DEBUG] Depth overlay: depthToColor program validate status=1
	行   379: 05-30 11:07:24.021 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,581: [DEBUG] Depth overlay: u_depthTexture location=0, binding texture=41
	行   380: 05-30 11:07:24.021 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,585: [DEBUG] Depth overlay: attribute locations - pos=0, tex=1
	行   381: 05-30 11:07:24.021 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,638: [DEBUG] Depth overlay: FBO gOverlayFBO (3) complete
	行   382: 05-30 11:07:24.021 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,647: [DEBUG] Depth overlay: first blit - read from currentFBO=0 to gOverlayFBO left half
	行   383: 05-30 11:07:24.021 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,662: [DEBUG] Depth overlay: second blit - read from gDepthBlitFBO=4 to gOverlayFBO right half
	行   384: 05-30 11:07:24.021 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,667: [DEBUG] Depth overlay: final blit - from gOverlayFBO=3 to savedFBO=0
	行   406: 05-30 11:07:24.080 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,1538: [DEBUG] Depth overlay: FBO=297 has depth attachment type=0x1702
	行   415: 05-30 11:07:24.097 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,1538: [DEBUG] Depth overlay: FBO=7 has depth attachment type=0x1702
	行   416: 05-30 11:07:24.097 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,28974: [DEBUG] Depth overlay: g_frame_id:863 detected depth blit from FBO=297, mask=0x100 filter=2600
	行   421: 05-30 11:07:24.098 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,1538: [DEBUG] Depth overlay: FBO=297 has depth attachment type=0x1702
	行   424: 05-30 11:07:24.098 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,1538: [DEBUG] Depth overlay: FBO=298 has depth attachment type=0x1702
	行   484: 05-30 11:07:24.103 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,1538: [DEBUG] Depth overlay: FBO=300 has depth attachment type=0x1702
	行   487: 05-30 11:07:24.104 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,1538: [DEBUG] Depth overlay: FBO=301 has depth attachment type=0x1702
	行   496: 05-30 11:07:24.106 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,1538: [DEBUG] Depth overlay: FBO=282 has depth attachment type=0x1702
	行   500: 05-30 11:07:24.108 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,1538: [DEBUG] Depth overlay: FBO=285 has depth attachment type=0x1702
	行   530: 05-30 11:07:24.109 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,1538: [DEBUG] Depth overlay: FBO=1 has depth attachment type=0x8d41
	行   547: 05-30 11:07:24.111 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,41226: [DEBUG] Depth overlay: selected best depth FBO=297 (draws=285, verts=855168)
	行   548: 05-30 11:07:24.111 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,103: [DEBUG] Depth overlay: trigger file check result=1, path=/data/storage/el2/base/haps/inputs/results/depth_overlay
	行   549: 05-30 11:07:24.111 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,405: [DEBUG] Depth overlay: using recorded depth blit target FBO=297
	行   550: 05-30 11:07:24.111 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,428: [DEBUG] Depth overlay: sourceFBO=297, GL_READ_FRAMEBUFFER_BINDING=297, GL_FRAMEBUFFER_BINDING=0
	行   551: 05-30 11:07:24.111 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,441: [DEBUG] Depth overlay: sourceFBO=297 has depth(type=0x1702,id=2062) color(type=0x1702,id=4679)
	行   552: 05-30 11:07:24.111 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,442: [DEBUG] Depth overlay GL ERROR at after query sourceFBO attachments: 0x502
	行   553: 05-30 11:07:24.111 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,451: [DEBUG] Depth overlay: sourceFBO depth texture id=2062 size=1919x828 redSize=0
	行   554: 05-30 11:07:24.111 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,473: [DEBUG] Depth overlay: render frameID=745, size=1919x828, sourceFBO=297, color=4679, depth=(type=0x1702,id=2062), currentFBO=0
	行   555: 05-30 11:07:24.111 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,475: [DEBUG] Depth overlay: shader programs - depthToColor=140, sideBySide=137, gDepthBlitFBO=4, gOverlayFBO=3
	行   556: 05-30 11:07:24.111 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,498: [DEBUG] Depth overlay: depth attachment is TEXTURE id=2062, using cached temp blit
	行   557: 05-30 11:07:24.111 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,518: [DEBUG] Depth overlay: blit TEXTURE to cached temp TEXTURE id=41
